Codebook Index Counts:
Index 1035: 57
Index 1036: 255
Index 1037: 3094
Index 1038: 149
Index 1039: 1258
Index 1040: 563
Index 1041: 2
Index 1042: 415
Index 1043: 105
Index 1044: 1764
Index 1045: 1891
Index 1046: 1262
Index 1047: 1
Index 1048: 7
Index 1049: 1
Index 1050: 34
Index 1051: 40
Index 1053: 1093
Index 1054: 8494
Index 1055: 7839
Index 1056: 27
Index 1057: 763
Index 1058: 227
Index 1059: 12
Index 1060: 38
Index 1061: 2556
Index 1062: 368
Index 1063: 6292
Index 1064: 8661
Index 1065: 18
Index 1066: 946
Index 1067: 5
Index 1068: 622
Index 1069: 23
Index 1070: 674
Index 1071: 236
Index 1072: 1863
Index 1073: 920
Index 1074: 301
Index 1075: 145
Index 1076: 389
Index 1077: 28
Index 1078: 81
Index 1079: 687
Index 1080: 3880
Index 1081: 3545
Index 1082: 3426
Index 1083: 9552
Index 1084: 887
Index 1085: 224
Index 1086: 21
Index 1087: 47
Index 1088: 1
Index 1089: 754
Index 1090: 1865
Index 1091: 9209
Index 1092: 1653
Index 1093: 151
Index 1094: 369
Index 1095: 6550
Index 1096: 10478
Index 1097: 5788
Index 1098: 477
Index 1099: 420
Index 1100: 5185
Index 1101: 6975
Index 1102: 7136
Index 1103: 2685
Index 1104: 1486
Index 1105: 3020
Index 1106: 4517
Index 1107: 3942
Index 1108: 1873
Index 1109: 6423
Index 1110: 3985
Index 1111: 261
Index 1112: 828
Index 1113: 429
Index 1114: 644
Index 1115: 2292
Index 1116: 278
Index 1117: 29
Index 1118: 4334
Index 1119: 4108
Index 1120: 523
Index 1121: 3671
Index 1122: 1100
Index 1123: 1392
Index 1125: 330
Index 1126: 1
Index 1127: 7131
Index 1128: 16850
Index 1129: 93
Index 1130: 32620
Index 1131: 6758
Index 1132: 753
Index 1133: 38
Index 1134: 983
Index 1136: 2261
Index 1137: 902
Index 1138: 3585
Index 1139: 200
Index 1140: 1140
Index 1141: 171
Index 1143: 29
Index 1144: 3103
Index 1145: 51
Index 1146: 772
Index 1147: 164
Index 1148: 62
Index 1149: 6315
Index 1150: 5169
Index 1151: 2254
Index 1152: 133
Index 1153: 6
Index 1154: 8595
Index 1155: 1634
Index 1156: 145
Index 1157: 398
Index 1158: 90
Index 1159: 3150
Index 1160: 213
Index 1161: 294
Index 1162: 46
Index 1163: 675
Index 1164: 975
Index 1165: 5529
Index 1166: 194
Index 1167: 114
Index 1168: 489
Index 1169: 16749
Index 1170: 75
Index 1171: 2550
Index 1173: 182
Index 1174: 7894
Index 1175: 502
Index 1176: 720
Index 1177: 6201
Index 1178: 1
Index 1179: 2645
Index 1180: 8676
Index 1181: 5
Index 1182: 186
Index 1183: 36
Index 1184: 4531
Index 1185: 1190
Index 1186: 596
Index 1187: 3267
Index 1188: 135
Index 1189: 2624
Index 1190: 1988
Index 1192: 12147
Index 1193: 3115
Index 1194: 333
Index 1195: 1346
Index 1196: 1003
Index 1197: 2097
Index 1198: 220
Index 1199: 611
Index 1200: 214
Index 1201: 28010
Index 1202: 742
Index 1203: 555
Index 1204: 2587
Index 1205: 843
Index 1206: 43398
Index 1207: 308
Index 1208: 953
Index 1209: 2305
Index 1210: 5717
Index 1211: 494
Index 1212: 3908
Index 1213: 672
Index 1214: 1882
Index 1215: 1722
Index 1216: 16
Index 1217: 1965
Index 1218: 1999
Index 1219: 5076
Index 1220: 754
Index 1221: 4741
Index 1222: 14
Index 1223: 344
Index 1224: 1195
Index 1225: 1610
Index 1226: 15481
Index 1227: 40
Index 1228: 19747
Index 1229: 689
Index 1230: 1134
Index 1231: 2941
Index 1232: 1213
Index 1234: 1973
Index 1235: 535
Index 1236: 7193
Index 1237: 7810
Index 1238: 14072
Index 1239: 698
Index 1240: 5690
Index 1241: 16685
Index 1242: 3877
Index 1243: 4305
Index 1244: 113
Index 1245: 67
Index 1246: 119
Index 1247: 7168
Index 1248: 2095
Index 1249: 917
Index 1250: 1223
Index 1252: 746
Index 1254: 109
Index 1255: 19207
Index 1256: 3874
Index 1257: 1
Index 1258: 1778
Index 1259: 3312
Index 1260: 850
Index 1261: 1437
Index 1262: 384
Index 1263: 443
Index 1264: 3894
Index 1265: 9367
Index 1266: 8
Index 1267: 13
Index 1268: 842
Index 1269: 1751
Index 1270: 387
Index 1271: 1072
Index 1272: 17
Index 1273: 1844
Index 1274: 71
Index 1275: 27
Index 1276: 7419
Index 1277: 1282
Index 1278: 9266
Index 1279: 2402
Index 1280: 344
Index 1281: 666
Index 1282: 16
Index 1283: 21
Index 1284: 1543
Index 1285: 458
Index 1286: 482
Index 1287: 24060
Index 1288: 5810
Index 1289: 2631
Index 1290: 8307
Index 1291: 2355
Index 1292: 608
Index 1293: 105
Index 1294: 439
Index 1295: 2940
Index 1296: 3115
Index 1297: 5499
Index 1298: 3300
Index 1299: 185
Index 1300: 73
Index 1301: 4
Index 1302: 11
Index 1303: 337
Index 1304: 914
Index 1305: 3161
Index 1306: 6773
Index 1307: 2051
Index 1308: 3314
Index 1309: 1523
Index 1310: 1
Index 1311: 681
Index 1312: 18
Index 1313: 14
Index 1314: 4724
Index 1315: 315
Index 1316: 399
Index 1317: 87
Index 1318: 60
Index 1319: 218
