Codebook Index Counts:
Index 963: 1230
Index 964: 34051
Index 965: 48270
Index 966: 18157
Index 967: 4878
Index 968: 2012
Index 969: 302
Index 970: 1024
Index 971: 82
Index 972: 42
Index 973: 375
Index 974: 1847
Index 975: 323
Index 976: 147
Index 977: 836
Index 978: 1499
Index 979: 2148
Index 980: 2347
Index 981: 4781
Index 982: 3757
Index 983: 46
Index 984: 9693
Index 985: 104
Index 986: 1636
Index 987: 2564
Index 988: 0
Index 989: 2139
Index 990: 686
Index 991: 332
Index 992: 1019
Index 993: 125
Index 994: 10
Index 995: 35
Index 996: 498
Index 997: 329
Index 998: 56
Index 999: 214
Index 1000: 14121
Index 1001: 1817
Index 1002: 1079
Index 1003: 4944
Index 1004: 2411
Index 1005: 564
Index 1006: 4453
Index 1007: 4
Index 1008: 1397
Index 1009: 6722
Index 1010: 29131
Index 1011: 2814
Index 1012: 346
Index 1013: 1647
Index 1014: 727
Index 1015: 1280
Index 1016: 21453
Index 1017: 6885
Index 1018: 0
Index 1019: 15
Index 1020: 3672
Index 1021: 380
Index 1022: 270
Index 1023: 2581
Index 1024: 1921
Index 1025: 8780
Index 1026: 121
Index 1027: 720
Index 1028: 11896
Index 1029: 592
Index 1030: 64
Index 1031: 960
Index 1032: 176
Index 1033: 1961
Index 1034: 2524
Index 1035: 95
Index 1036: 195
Index 1037: 2292
Index 1038: 151
Index 1039: 912
Index 1040: 772
Index 1041: 11
Index 1042: 1456
Index 1043: 239
Index 1044: 12817
Index 1045: 1794
Index 1046: 3151
Index 1047: 1
Index 1048: 28
Index 1049: 21
Index 1050: 92
Index 1051: 66
Index 1052: 0
Index 1053: 1056
Index 1054: 18644
Index 1055: 3018
Index 1056: 10
Index 1057: 1747
Index 1058: 392
Index 1059: 29
Index 1060: 51
Index 1061: 2130
Index 1062: 656
Index 1063: 3855
Index 1064: 4303
Index 1065: 77
Index 1066: 865
Index 1067: 5
Index 1068: 1223
Index 1069: 49
Index 1070: 1242
Index 1071: 712
Index 1072: 2797
Index 1073: 950
Index 1074: 391
Index 1075: 70
Index 1076: 705
Index 1077: 15
Index 1078: 266
Index 1079: 996
Index 1080: 2425
Index 1081: 3340
Index 1082: 1581
Index 1083: 3833
Index 1084: 533
Index 1085: 432
Index 1086: 38
Index 1087: 87
Index 1088: 2
Index 1089: 852
Index 1090: 1487
Index 1091: 4590
Index 1092: 2643
Index 1093: 301
Index 1094: 243
Index 1095: 3086
Index 1096: 4935
Index 1097: 3280
Index 1098: 258
Index 1099: 363
Index 1100: 3072
Index 1101: 4815
